id,date,input,voters,imgur_id
81,"2016-08-17 13:47:54.939",right,"[""47942344"", ""132429296"", ""40761218"", ""15184907"", ""47982630""]",fmnzm7b
82,"2016-08-17 13:58:25.617",right,"[""92098884""]",0ZKVlPU
83,"2016-08-17 14:10:05.767",right,"[""57026697"", ""43706955"", ""88297609""]",ULXjvKN
84,"2016-08-17 14:21:42.034",right,"[""66792680"", ""60980691"", ""90858884"", ""131737737"", ""103635016"", ""36229737"", ""42884138"", ""121798077""]",cvuneA9
85,"2016-08-17 14:36:53.020",right,"[""69099091"", ""132425876"", ""49748190"", ""105657686"", ""86772477"", ""60980691""]",363eJM0
86,"2016-08-17 14:47:14.836",down,"[""124965352"", ""69817152"", ""132373418"", ""58049288""]",mAaGcVL
87,"2016-08-17 14:56:17.185",right,"[""132429296"", ""60253223"", ""77380787"", ""132211990"", ""67334527""]",DcGP84V
88,"2016-08-17 15:07:28.492",right,"[""132429296"", ""74900717"", ""132211990"", ""67334527""]",TxNw3MS
89,"2016-08-17 15:22:27.784",up,"[""84870041"", ""97782926"", ""69783238"", ""87612071"", ""117494629"", ""39288809"", ""130633387"", ""57827469"", ""132269726"", ""67334527""]",wDVTeAr
90,"2016-08-17 15:31:36.856",up,"[""68617283"", ""132407013"", ""60253223"", ""126568488"", ""42884138"", ""57827469"", ""40602205""]",DBbDSSQ
91,"2016-08-17 15:40:13.899",up,"[""106863168"", ""129196905"", ""132438252"", ""57827469"", ""132429296""]",BPQWGaY
92,"2016-08-17 15:48:51.674",up,"[""49787600"", ""126568488""]",c24enr9
93,"2016-08-17 15:59:16.245",right,"[""58749968"", ""48836129"", ""65767490"", ""67594967"", ""126568488"", ""47058568"", ""132436013"", ""71404063""]",yn193rG
94,"2016-08-17 16:10:20.563",right,"[""65767490"", ""91663156"", ""126286891"", ""130966572"", ""132436013"", ""53668799""]",yeOVMZM
95,"2016-08-17 16:27:11.666",right,"[""131214431"", ""29692445"", ""42534422"", ""7193549""]",ck8fh0l
96,"2016-08-17 16:34:08.460",right,"[""52899402"", ""101974965""]",e0CiGcv
97,"2016-08-17 16:44:14.619",right,"[""26258249""]",aVAef8Z
98,"2016-08-17 16:53:37.471",right,"[""100836634"", ""70665299""]",MPCT7Ku
99,"2016-08-17 17:00:41.233",right,"[""117492657"", ""68617283"", ""105948934"", ""103191063""]",FApiQ7P
100,"2016-08-17 17:14:55.150",up,[],tkMDdQn
101,"2016-08-17 17:29:25.050",right,"[""24393817""]",IVQCkke
102,"2016-08-17 17:38:16.417",right,"[""86079258""]",53ml5s1
103,"2016-08-17 17:47:05.736",b,"[""61859218"", ""69099091"", ""46082516"", ""95077029"", ""132446968"", ""84870041"", ""93648570""]",qDupM8M
104,"2016-08-17 17:57:15.641",right,"[""118905000"", ""58530978"", ""57351763"", ""71230677""]",ZfPcrCE
105,"2016-08-17 18:09:47.794",up,"[""46082516""]",YxQ6DeO
106,"2016-08-17 18:21:25.023",a,"[""128515402""]",hqpNme9
107,"2016-08-17 18:29:04.109",a,"[""47058568"", ""119471527"", ""68617283"", ""121307303"", ""57286635""]",owhCJJJ
108,"2016-08-17 18:40:29.009",a,"[""58031234"", ""58091595"", ""22436805"", ""91948519""]",U72vZZr
109,"2016-08-17 18:48:18.752",a,"[""47058568"", ""56861516"", ""8075196"", ""119471527""]",wghlgYI
110,"2016-08-17 18:57:57.831",a,"[""47429659"", ""57238305"", ""43403915""]",m1luRsf
