id,recorded_at,created_at,length,published_at,title,broadcast_type,views
30252626,2014-03-22T00:03:53Z,2014-10-08T08:30:41Z,306933,2014-10-08T08:30:41.495384Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,318
30252464,2014-03-25T16:23:06Z,2014-10-08T09:36:28Z,232066,2014-10-08T09:36:27.579736Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,82
30254474,2014-03-28T09:21:23Z,2014-03-28T09:54:43Z,81840,2014-03-28T09:54:42.751201Z,"Twitch Plays Pokemon (Emerald) 6d8h21m ~ 7d6h51m",archive,440
43379257,2014-03-28T09:21:23Z,2014-09-04T04:26:59Z,22421,2014-09-04T04:26:58.70827Z,"Twitch Plays Pokemon (Emerald) 6d8h21m ~ 7d6h51m",highlight,220
30252425,2014-03-29T08:07:46Z,2014-10-08T10:40:27Z,271051,2014-10-08T10:40:26.935091Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,66
30254512,2014-04-01T12:13:53Z,2014-04-01T12:47:14Z,201703,2014-04-01T12:47:13.981592Z,"Twitch Plays Pokemon (Emerald) 10d11h16m ~ 12d18h58m",archive,906
43379394,2014-04-01T12:13:53Z,2014-09-04T04:27:24Z,62945,2014-09-04T04:27:24.15447Z,"Twitch Plays Pokemon (Emerald) 10d11h16m ~ 12d18h58m",highlight,82
30254241,2014-04-03T20:16:28Z,2014-04-03T20:36:18Z,1047,2014-04-03T20:36:17.926176Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,51
43379000,2014-04-03T20:16:28Z,2014-09-04T04:28:08Z,1047,2014-09-04T04:28:07.663261Z,"Twitch Plays Pokemon (Enter button inputs via chat!!!)",highlight,86
30254164,2014-04-03T20:34:31Z,2014-04-03T20:35:58Z,20,2014-04-03T20:35:58.162147Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,35
43378680,2014-04-03T20:34:31Z,2014-09-04T04:27:53Z,20,2014-09-04T04:27:52.911713Z,"Twitch Plays Pokemon (Enter button inputs via chat!!!)",highlight,78
30254135,2014-04-03T20:37:51Z,2014-04-03T20:39:05Z,64,2014-04-03T20:39:04.990666Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,41
43378672,2014-04-03T20:37:51Z,2014-09-04T04:28:43Z,64,2014-09-04T04:28:42.783084Z,"Twitch Plays Pokemon (Enter button inputs via chat!!!)",highlight,73
30252479,2014-04-03T20:46:52Z,2014-10-08T11:29:20Z,28862,2014-10-08T11:29:20.234661Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,21
30254123,2014-04-04T05:18:14Z,2014-04-04T05:19:46Z,63,2014-04-04T05:19:45.695024Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,57
43378714,2014-04-04T05:18:14Z,2014-09-04T04:29:00Z,63,2014-09-04T04:28:59.877375Z,"Twitch Plays Pokemon (Enter button inputs via chat!!!)",highlight,132
30252323,2014-04-04T05:25:10Z,2014-10-08T11:34:38Z,14819,2014-10-08T11:34:37.667175Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,29
30252346,2014-04-04T09:32:56Z,2014-10-08T11:37:20Z,99563,2014-10-08T11:37:20.196956Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,61
30252301,2014-04-05T13:12:33Z,2014-10-08T11:54:28Z,335013,2014-10-08T11:54:27.610488Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,111
30251775,2014-04-09T12:57:23Z,2014-10-08T23:49:04Z,39210,2014-10-08T23:49:04.2085Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,68
30254319,2014-04-10T00:22:36Z,2014-04-10T00:54:28Z,163593,2014-04-10T00:54:28.294091Z,"Twitch Plays Pokemon (Emerald) 18d23h22m ~ 20d22h1m",archive,2082
43379481,2014-04-10T00:22:36Z,2014-09-04T04:29:23Z,37797,2014-09-04T04:29:22.673354Z,"Twitch Plays Pokemon (Emerald) 18d23h22m ~ 20d22h1m",highlight,155
30254143,2014-04-11T23:08:39Z,2014-04-11T23:40:22Z,6780,2014-04-11T23:40:22.407716Z,"Twitch Plays Pokemon (Emerald -> Fire Red) Intermission",archive,1387
43379299,2014-04-11T23:08:39Z,2014-09-04T04:29:41Z,3179,2014-09-04T04:29:41.105379Z,"Twitch Plays Pokemon (Emerald -> Fire Red) Intermission",highlight,132
30253959,2014-04-12T01:01:51Z,2014-04-12T01:10:55Z,466,2014-04-12T01:10:55.103391Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,731
43378848,2014-04-12T01:01:51Z,2014-09-04T04:30:00Z,466,2014-09-04T04:30:00.447406Z,"Twitch Plays Pokemon (Enter button inputs via chat!!!)",highlight,343
30252330,2014-04-12T01:17:27Z,2014-10-08T14:31:53Z,231045,2014-10-08T14:31:53.237826Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,163
30252355,2014-04-14T18:24:11Z,2014-10-08T15:31:49Z,100068,2014-10-08T15:31:48.850601Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,596
30252377,2014-04-15T22:32:15Z,2014-10-08T15:51:29Z,125980,2014-10-08T15:51:29.325234Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,45
30253869,2014-04-17T17:50:54Z,2014-04-17T17:57:57Z,349,2014-04-17T17:57:57.311348Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,171
43378838,2014-04-17T17:50:54Z,2014-09-04T04:30:08Z,349,2014-09-04T04:30:08.268977Z,"Twitch Plays Pokemon (Enter button inputs via chat!!!)",highlight,81
30254055,2014-04-17T17:57:44Z,2014-04-17T18:29:35Z,812641,2014-04-17T18:29:34.774068Z,"Twitch Plays Pokemon (Fire Red) ~ 15d2h7m",archive,2740
39646714,2014-04-17T17:57:44Z,2014-04-17T17:57:44Z,812641,2014-04-17T17:57:44Z,"Twitch Plays Pokemon (Fire Red) ~ 15d2h7m",highlight,419
30254113,2014-04-27T04:14:18Z,2014-04-27T04:46:06Z,78064,2014-04-27T04:46:06.040116Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,756
43379265,2014-04-27T04:14:18Z,2014-09-04T04:30:43Z,21595,2014-09-04T04:30:43.029547Z,"Twitch Plays Pokemon (Intermission)",highlight,243
30253992,2014-04-28T02:29:29Z,2014-04-28T03:01:34Z,3741,2014-04-28T03:01:34.47424Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,180
43379179,2014-04-28T02:29:29Z,2014-09-04T04:31:02Z,3741,2014-09-04T04:31:02.074309Z,"Twitch Plays Pokemon (Intermission)",highlight,37
30252324,2014-04-28T03:33:11Z,2014-10-08T19:49:57Z,82439,2014-10-08T19:49:57.367154Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,35
30251955,2014-04-29T02:57:27Z,2014-10-08T20:20:31Z,1077,2014-10-08T20:20:30.857866Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,8
30252005,2014-04-29T03:15:52Z,2014-10-09T00:07:51Z,58469,2014-10-09T00:07:50.59442Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,20
30252282,2014-04-29T19:30:53Z,2014-10-08T20:38:32Z,114543,2014-10-08T20:38:31.926327Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,24
30253780,2014-05-01T03:29:26Z,2014-05-01T03:31:59Z,82,2014-05-01T03:31:59.154818Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,70
43378674,2014-05-01T03:29:26Z,2014-09-04T04:31:50Z,82,2014-09-04T04:31:50.055372Z,"Twitch Plays Pokemon (Enter button inputs via chat!!!)",highlight,43
30254290,2014-05-01T03:32:51Z,2014-05-01T04:05:00Z,171298,2014-05-01T04:04:59.671091Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,291
43379644,2014-05-01T03:32:51Z,2014-09-04T04:32:08Z,42664,2014-09-04T04:32:07.501338Z,"Twitch Plays Pokemon (Intermission)",highlight,26
30252234,2014-05-03T03:33:28Z,2014-10-08T22:07:54Z,183957,2014-10-08T22:07:53.930523Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,185
