id,date,input,voters,imgur_id
256,"2016-02-12 21:07:44.459",up,[],
257,"2016-02-12 21:11:53.477",a,[],
258,"2016-02-12 21:16:02.499",b,[],
259,"2016-02-12 21:20:11.494",b,[],
260,"2016-02-12 21:24:20.518",b,"[""96830061""]",
261,"2016-02-12 21:28:29.523",down,"[""97769335""]",
262,"2016-02-12 21:32:38.507",b,[],
263,"2016-02-12 21:36:47.513",down,[],
264,"2016-02-12 21:40:56.520",a,[],
265,"2016-02-12 21:45:05.549",a,[],
266,"2016-02-12 21:49:14.571",b,[],
267,"2016-02-12 21:53:23.591",down,[],
268,"2016-02-12 21:57:32.630",down,[],
269,"2016-02-12 22:01:41.644",down,[],
270,"2016-02-12 22:05:50.655",a,[],
271,"2016-02-12 22:09:59.656",a,[],
272,"2016-02-12 22:14:08.718",a,[],
273,"2016-02-12 22:18:17.741",a,"[""58042161""]",
274,"2016-02-12 22:22:26.786",a,[],
275,"2016-02-12 22:26:35.896",b,[],
276,"2016-02-12 22:30:45.239",down,[],
277,"2016-02-12 22:35:32.774",a,[],
278,"2016-02-12 22:39:41.890",b,[],
279,"2016-02-12 22:43:50.925",b,[],
280,"2016-02-12 22:48:00.003",b,[],
281,"2016-02-12 22:52:09.216",down,[],
282,"2016-02-12 22:56:18.465",down,"[""62180711""]",
283,"2016-02-12 23:00:28.226",right,[],
284,"2016-02-12 23:04:37.837",down,[],
285,"2016-02-12 23:08:47.004",down,[],
286,"2016-02-12 23:12:56.696",down,"[""23948412""]",
287,"2016-02-12 23:17:06.649",down,[],
288,"2016-02-12 23:21:16.597",right,[],
289,"2016-02-12 23:25:26.126",right,[],
290,"2016-02-12 23:29:35.577",right,"[""51219713""]",
291,"2016-02-12 23:33:45.459",down,"[""77379327""]",
292,"2016-02-12 23:37:55.053",down,[],
293,"2016-02-12 23:42:04.072",down,[],
294,"2016-02-12 23:46:13.128",left,[],
295,"2016-02-12 23:50:22.156",left,[],
296,"2016-02-12 23:54:31.142",left,[],
297,"2016-02-12 23:58:40.176",b,[],
298,"2016-02-13 00:02:49.204",up,[],
299,"2016-02-13 00:06:58.224",up,[],
300,"2016-02-13 00:11:07.226",a,[],
301,"2016-02-13 00:15:16.251",a,[],
302,"2016-02-13 00:19:25.255",a,[],
303,"2016-02-13 00:23:34.318",up,[],
304,"2016-02-13 00:27:43.645",right,[],
305,"2016-02-13 00:31:52.659",a,[],
306,"2016-02-13 00:36:02.099",a,[],
307,"2016-02-13 00:40:11.535",b,[],
308,"2016-02-13 00:44:20.568",b,[],
309,"2016-02-13 00:48:29.944",b,[],
310,"2016-02-13 00:52:39.324",b,[],
311,"2016-02-13 00:56:48.587",down,[],
312,"2016-02-13 01:00:58.551",down,[],
313,"2016-02-13 01:05:08.502",down,[],
314,"2016-02-13 01:09:18.390",down,[],
315,"2016-02-13 01:13:28.263",left,[],
316,"2016-02-13 01:17:38.059",a,[],
317,"2016-02-13 01:27:26.764",a,[],
318,"2016-02-13 01:31:35.901",down,"[""86339624""]",
319,"2016-02-13 01:35:44.991",right,[],
320,"2016-02-13 01:39:54.090",right,[],
321,"2016-02-13 01:44:03.206",left,[],
322,"2016-02-13 01:48:12.324",right,[],
323,"2016-02-13 01:52:21.463",right,[],
324,"2016-02-13 01:56:30.633",right,[],
325,"2016-02-13 02:00:39.676",right,[],
326,"2016-02-13 02:04:48.697",up,[],
327,"2016-02-13 02:08:57.689",right,[],
328,"2016-02-13 02:13:07.024",right,[],
329,"2016-02-13 02:17:16.369",right,[],
330,"2016-02-13 02:21:25.802",right,[],
331,"2016-02-13 02:25:35.282",right,[],
332,"2016-02-13 02:29:44.300",up,"[""71230677""]",
333,"2016-02-13 02:33:53.288",up,"[""41458265""]",
334,"2016-02-13 02:38:02.259",up,[],
335,"2016-02-13 02:42:11.280",up,[],
336,"2016-02-13 02:46:20.273",up,[],
337,"2016-02-13 02:50:29.289",up,[],
338,"2016-02-13 02:54:38.280",up,"[""97360695""]",
339,"2016-02-13 02:58:47.281",up,[],
340,"2016-02-13 03:02:56.270",a,[],
341,"2016-02-13 03:07:05.282",up,[],
342,"2016-02-13 03:11:14.282",a,[],
343,"2016-02-13 03:15:23.291",up,[],
344,"2016-02-13 03:19:32.316",up,[],
345,"2016-02-13 03:23:41.762",right,[],
346,"2016-02-13 03:27:51.201",right,[],
347,"2016-02-13 03:32:00.183",right,[],
348,"2016-02-13 03:36:09.201",left,[],
349,"2016-02-13 03:40:18.297",left,"[""30417341""]",
350,"2016-02-13 03:45:07.182",b,[],
351,"2016-02-13 03:49:16.177",down,[],
352,"2016-02-13 03:53:25.161",down,[],
353,"2016-02-13 03:57:34.163",down,[],
354,"2016-02-13 04:01:43.154",down,[],
355,"2016-02-13 04:05:52.494",left,[],
356,"2016-02-13 04:10:01.834",down,[],
357,"2016-02-13 04:18:17.100",down,[],
358,"2016-02-13 04:22:26.228",b,[],
359,"2016-02-13 04:26:35.359",down,[],
360,"2016-02-13 04:30:44.459",down,[],
361,"2016-02-13 04:34:53.552",down,[],
362,"2016-02-13 04:39:02.641",down,[],
363,"2016-02-13 04:43:11.761",down,[],
364,"2016-02-13 04:47:20.901",down,[],
365,"2016-02-13 05:04:59.795",a,[],
366,"2016-02-13 05:09:09.395",down,[],
367,"2016-02-13 05:13:18.503",down,[],
368,"2016-02-13 05:22:02.793",down,"[""55749939""]",
369,"2016-02-13 05:27:19.465",down,[],
370,"2016-02-13 05:31:28.634",b,[],
371,"2016-02-13 05:35:37.791",down,[],
372,"2016-02-13 05:39:46.895",down,[],
373,"2016-02-13 05:43:55.997",down,[],
374,"2016-02-13 05:48:05.127",a,[],
375,"2016-02-13 05:52:14.294",up,[],
